"","AppId","Rank","ReleaseDate","Category","Price","Seller","Developer","Screenshot","Size","StarsAllVersions","RatingsAllVersions","StarsCurrentVersion","RatingsCurrentVersion","Version","UpdatedDate","TopInAppPurchases","dummy_Book","dummy_Business","dummy_Education","dummy_Finance","dummy_Games","dummy_Medical","dummy_Music","dummy_Productivity","equalSD","Bigcom","AppAge","Version_2","UpCyle"
"1",311349103,1,2009-05-11,"Book",0.99,"Intelligenti Ltd","Intelligenti Ltd",5,32.9,3.5,5212,4,63,"6","03-Oct-12",0,1,0,0,0,0,0,0,0,1,0,1331,36,36.9722222222222
"2",444553118,2,2011-07-11,"Book",9.99,"Nelson Media, Inc.","Nelson Media, Inc.",5,21.54,4,296,4,44,"1.4","07-Aug-12",0,1,0,0,0,0,0,0,0,1,0,540,1,540
"3",546352307,3,2012-11-14,"Book",NA,"MTV Networks","Nickelodeon",5,553.56,5,9,5,9,"1"," Nov 14, 2012",0,1,0,0,0,0,0,0,0,0,1,48,1,48
"4",579570736,4,2012-11-24,"Book",0.99,"Magnificat sas","Magnificat",4,32,4.5,17,5,1,"1.1","05-Dec-12",0,1,0,0,0,0,0,0,0,1,0,38,1,38
"5",343766429,5,2009-12-10,"Book",2.99,"Oceanhouse Media, Inc.","Oceanhouse Media",5,36.72,4,655,5,3,"2.1","26-Nov-12",0,1,0,0,0,0,0,0,0,1,1,1118,4,279.5
"6",573235547,6,2012-12-08,"Book",1.99,"Inkstone Software, Inc.","Inkstone Software, Inc.",5,15.32,4.5,6,4.5,6,"1.0.1"," Dec 08, 2012",0,1,0,0,0,0,0,0,0,1,0,24,1,24
"7",419020937,7,2011-03-08,"Book",1.99,"MTV Networks","Nickelodeon",NA,50.94,4,323,3.5,43,"1.5","24-Feb-12",0,1,0,0,0,0,0,0,0,0,1,665,1,665
"8",403680964,8,2010-11-18,"Book",1.99,"Oceanhouse Media, Inc.","Oceanhouse Media",4,24.55,4,261,4,6,"2.1","26-Nov-12",0,1,0,0,0,0,0,0,0,1,1,775,4,193.75
"9",301201602,9,2009-01-10,"Book",NA,"Brie I. Alexandru-Horia ""Informatica"" Persoana Fizica Autorizata","Brie I. Alexandru-Horia ""Informatica"" Persoana Fizica Autorizata",5,23.9,4.5,2822,5,73,"6","21-Sep-12",6,1,0,0,0,0,0,0,0,1,0,1452,36,40.3333333333333
"10",352615816,10,2010-02-05,"Book",1.99,"Spreadsong, Inc.","Spreadsong, Inc.",5,24.72,4,3670,5,7,"2.5.1","04-Dec-12",1,1,0,0,0,0,0,0,0,1,1,1061,4,265.25
